shot_angle,shot_distance,keeper_angle,keeper_scope,keeper_scope_angle,keeper_distance,is_penalty,is_freekick,is_openplay,nearest_player_distance,blocking_players_count,blocking_player_mean_distance,teammates_count,keep_angle_by_shot_angle,scope_angle_by_shot_angle,body_part,season,is_goal
33.15,8.06,34.7,0.474,5.54,3.16,False,False,True,1.0,1,1.0,0,1.0467571644042233,0.1671191553544495,Head,2014/2015,False
45.0,8.94,9.46,1.2899999999999998,14.02,8.6,False,False,True,-1,0,-1,0,0.21022222222222225,0.31155555555555553,Right Foot,2014/2015,False
26.39,12.04,21.12,0.75,10.43,5.0,False,False,True,-1,0,-1,0,0.8003031451307313,0.3952254641909814,Right Foot,2014/2015,False
27.24,14.76,13.67,2.013,15.35,13.42,False,False,True,5.39,1,5.39,0,0.5018355359765052,0.5635095447870778,Left Foot,2014/2015,False
14.24,32.02,5.19,4.659,17.03,31.06,False,False,True,14.14,1,14.14,0,0.3644662921348315,1.1959269662921348,Left Foot,2014/2015,False
16.03,27.2,2.56,3.8249999999999997,16.75,25.5,False,False,True,4.12,4,13.91,2,0.15970056144728634,1.0449157829070492,Right Foot,2014/2015,False
18.99,21.93,8.8,3.2895,15.63,21.93,False,False,True,10.3,1,10.3,1,0.4634017904160085,0.8230647709320696,Right Foot,2014/2015,False
25.32,14.21,4.76,1.2735,12.25,8.49,False,False,True,-1,0,-1,0,0.18799368088467613,0.48380726698262244,Left Foot,2014/2015,True
9.87,40.31,7.78,5.326499999999999,14.54,35.51,False,False,True,10.0,1,10.0,0,0.7882472137791288,1.4731509625126646,Right Foot,2013/2014,False
11.94,31.62,4.08,4.83,13.92,32.2,False,True,False,7.81,3,9.92,0,0.3417085427135679,1.1658291457286432,Right Foot,2013/2014,False
16.71,25.08,10.84,3.4890000000000003,15.49,23.26,False,False,True,11.4,1,11.4,0,0.6487133453022143,0.9269898264512267,Right Foot,2013/2014,False
34.21,13.0,17.1,1.7999999999999998,17.06,12.0,False,False,True,4.12,1,4.12,0,0.49985384390529086,0.4986845951476176,Other,2013/2014,False
32.11,13.0,13.67,1.4235,16.24,9.49,False,False,True,1.41,1,1.41,0,0.42572407349735286,0.5057614450327,Left Foot,2013/2014,False
39.7,11.05,10.41,0.618,16.57,4.12,False,False,True,1.0,1,1.0,0,0.2622166246851385,0.41738035264483625,Head,2013/2014,True
50.91,8.25,37.23,1.143,15.76,7.62,False,False,True,1.0,3,3.436666666666667,0,0.7312905126694166,0.3095659006089177,Head,2013/2014,False
17.58,22.83,7.28,3.3539999999999996,15.35,22.36,False,False,True,5.39,2,10.895,0,0.41410693970420936,0.873151308304892,Left Foot,2013/2014,False
14.52,29.15,6.12,4.2345,15.78,28.23,False,True,False,10.2,5,11.918,1,0.42148760330578516,1.0867768595041323,Right Foot,2013/2014,False
32.7,13.34,23.11,1.6575,17.0,11.05,False,False,True,2.83,3,3.4333333333333336,0,0.7067278287461773,0.5198776758409785,Right Foot,2013/2014,False
32.11,13.0,21.8,1.6769999999999998,15.35,11.18,False,False,True,1.0,4,2.7675,2,0.6789162254749299,0.47804422298349425,Head,2013/2014,False
21.32,14.87,5.6,2.1315,11.0,14.21,False,False,True,-1,0,-1,0,0.26266416510318946,0.5159474671669794,Right Foot,2013/2014,False
66.37,6.08,28.5,0.7649999999999999,16.75,5.1,False,False,True,1.0,1,1.0,0,0.42941087840891967,0.252373060117523,Head,2013/2014,False
75.96,4.47,7.77,0.8084999999999999,6.51,5.39,False,False,True,1.41,5,3.5780000000000003,0,0.10229067930489731,0.08570300157977884,Head,2013/2014,False
19.59,23.09,10.16,3.3135,16.99,22.09,False,False,True,3.16,3,6.430000000000001,0,0.518631955079122,0.8672792240939254,Right Foot,2013/2014,False
19.52,22.14,12.09,3.0375,16.07,20.25,False,False,True,-1,0,-1,0,0.6193647540983607,0.8232581967213115,Left Foot,2013/2014,False
31.97,12.53,11.5,1.6155,15.9,10.77,False,False,True,1.0,3,7.47,0,0.3597122302158274,0.49734125742883956,Right Foot,2013/2014,False
13.7,19.42,5.64,2.25,10.43,15.0,False,False,True,-1,0,-1,0,0.4116788321167883,0.7613138686131387,Left Foot,2013/2014,False
14.04,25.61,3.18,3.8249999999999997,12.89,25.5,False,True,False,7.81,2,7.9350000000000005,0,0.22649572649572652,0.9180911680911682,Right Foot,2013/2014,False
13.6,23.35,1.36,2.8815,10.85,19.21,False,False,True,3.61,2,5.41,0,0.1,0.7977941176470588,Left Foot,2013/2014,False
36.66,12.04,19.23,1.6575,17.0,11.05,False,False,True,3.16,3,3.7600000000000002,1,0.5245499181669395,0.46372067648663395,Head,2013/2014,True
12.0,34.93,5.13,4.707,15.83,31.38,False,False,True,3.61,2,9.42,0,0.4275,1.3191666666666666,Right Foot,2013/2014,False
12.06,28.32,1.21,4.35,11.95,29.0,False,True,False,8.6,4,10.65,0,0.10033167495854062,0.9908789386401325,Right Foot,2013/2014,False
37.67,11.4,10.39,1.6575,17.0,11.05,False,False,True,1.0,3,3.796666666666667,1,0.2758162994425272,0.4512874966817096,Head,2013/2014,False
15.77,28.44,10.95,4.002,16.65,26.68,False,False,True,10.2,1,10.2,0,0.6943563728598605,1.0558021559923905,Right Foot,2013/2014,False
58.86,6.71,18.43,0.8744999999999999,14.74,5.83,False,False,True,1.0,1,1.0,0,0.3131158681617397,0.25042473666326875,Head,2013/2014,False
17.81,17.03,20.22,1.5,13.79,10.0,False,False,True,-1,0,-1,0,1.1353172375070186,0.7742841100505334,Left Foot,2013/2014,False
69.44,5.0,90.0,1.7999999999999998,0.0,12.0,False,False,True,2.24,2,8.120000000000001,0,1.2960829493087558,0.0,Head,2013/2014,True
13.74,15.65,58.12,0.75,10.43,5.0,False,False,True,13.93,2,15.045,0,4.229985443959243,0.7590975254730713,Right Foot,2013/2014,False
22.71,18.97,11.7,2.5140000000000002,16.32,16.76,False,False,True,4.12,1,4.12,0,0.5151915455746366,0.7186261558784677,Left Foot,2013/2014,True
36.87,12.0,18.43,1.7999999999999998,17.06,12.0,True,False,False,-1,0,-1,0,0.4998643883916464,0.46270680770273936,Right Foot,2013/2014,True
7.15,64.01,1.77,9.4515,17.06,63.01,False,False,True,-1,0,-1,0,0.24755244755244754,2.3860139860139857,Right Foot,2013/2014,False
31.89,14.0,6.48,1.8255,16.85,12.17,False,False,True,1.0,1,1.0,0,0.20319849482596425,0.5283788021323299,Right Foot,2012/2013,False
18.43,20.0,4.4,2.6234999999999995,14.74,17.49,False,False,True,9.22,1,9.22,0,0.23874118285404233,0.7997829625610418,Right Foot,2012/2013,False
13.61,32.76,4.04,4.6575,16.52,31.05,False,False,True,9.22,1,9.22,0,0.29684055841293167,1.2138133725202058,Right Foot,2012/2013,False
26.39,12.04,0.0,1.4144999999999999,14.58,9.43,False,False,True,5.0,1,5.0,0,0.0,0.5524820007578628,Right Foot,2012/2013,False
14.72,25.0,7.69,3.3299999999999996,13.97,22.2,False,False,True,-1,0,-1,0,0.5224184782608696,0.9490489130434783,Left Foot,2012/2013,False
19.07,18.44,3.81,2.5454999999999997,12.24,16.97,False,False,True,-1,0,-1,0,0.19979024646040902,0.6418458311484007,Right Foot,2012/2013,False
58.86,6.71,31.26,0.8084999999999999,15.92,5.39,False,False,True,1.0,1,1.0,0,0.5310907237512742,0.2704723071695549,Head,2012/2013,False
58.74,7.07,32.66,0.9119999999999999,16.84,6.08,False,False,True,6.71,1,6.71,0,0.5560095335376234,0.2866870956758597,Head,2012/2013,False
19.46,16.28,8.97,0.849,12.25,5.66,False,False,True,-1,0,-1,0,0.46094552929085303,0.6294964028776978,Left Foot,2012/2013,False
